content_id,value,context_code
1697,Alps Electric,also_known_as
1697,Alps Electric Co Ltd,formerly_known_as
1697,Alps Electric Co Ltd,previous_name_value
1698,Alta Technologies,also_known_as
1698,Atkins & Pierce,parent_of
1699,Altech,short_name
1699,Altech Schlemmer,also_known_as
1700,Altera,short_name
1701,Amatom,short_name
1701,Carey Manufacturing Co Inc,division_of
1702,Amecon,short_name
1703,American Beauty,also_known_as
1704,American Bright Led,also_known_as
1704,Bright LED,brand_of
1705,American Electrical,also_known_as
1706,American Insulated Wire,also_known_as
1709,American Opto Plus LED,also_known_as
1709,AOPLED,also_known_as
1710,American Power Conversion,also_known_as
1710,American Power Conversion Corp,previous_name_value
1710,APC,also_known_as
1710,APC,abbreviation
1710,Schneider Electric,division_of
1711,American Research Engineering,also_known_as
1711,ARE,also_known_as
1711,Capsonic Group,parent_of
1712,American Technical Ceramics,also_known_as
1712,ATC,also_known_as
1713,American-Zettler,also_known_as
1713,ZETTLER Components Inc,division_of
1714,AEC,also_known_as
1714,Amerline,short_name
1716,AMETEK Inc,division_of
1716,Ametek NCC,short_name
1717,Ametek,short_name
1717,AMETEK Inc,division_of
1717,Ametek Technical And Industrial Products,also_known_as
1717,AMETEK Technical and Industrial Products,previous_name_value
1717,Dunkermotoren,brand_of
1717,Haydon Kirk,brand_of
1717,Nautlair,brand_of
1717,Pittman (MCG Products),brand_of
1717,"ROTRON (pumps, motors, fans and degenerative blowers)",brand_of
1717,Winjammer,brand_of
1718,Ametherm,short_name
1718,Ametherm Circuit Protection Thermistors,also_known_as
1718,"Ametherm, Inc",formerly_known_as
1719,Amp,short_name
1719,AMP,previous_name_value
1719,AMP NETCONNECT,also_known_as
1719,CHAMP,brand_of
1719,TE Connectivity,brand_of
1720,Amperite,short_name
1720,Amperite Co,division_of
1720,T-Bar Switching Components,brand_of
1722,Amphenol Bendix,formerly_known_as
1722,Amphenol Corporation,division_of
1722,Bendix,formerly_known_as
1722,Matrix,brand_of
1723,Alden Products,also_known_as
1723,Amphenol Corporation,division_of
1724,Amphenol Corporation,division_of
1725,Amphenol Corporation,division_of
1726,Amphenol Corporation,division_of
1727,Amphenol Corporation,division_of
1728,Amphenol Corporation,division_of
1728,Amphenol Solar,division_of
1728,Amphenol Technology (Zhuhai) Co Ltd,division_of
1729,Amphenol Corporation,division_of
1730,Amphenol Corporation,division_of
1731,Amphenol Connex,previous_name_value
1731,Amphenol Corporation,division_of
1731,MMCX,product_family
1732,Amphenol Corporation,division_of
1733,Amphenol Corporation,division_of
1734,Amphenol Corporation,division_of
1735,Ampire,short_name
1736,Amplitronix,short_name
1737,Amprobe,short_name
1737,Meterman,merged_into
1737,Wavetek Meterman,merged_into
1738,Amulet Technologies,also_known_as
1738,GEMboard,trademark_of
1738,GEMexpress,trademark_of
1738,GEMstarter-kit,trademark_of
1738,GEMstudio,trademark_of
1738,Graphical Operating System,trademark_of
1738,Graphical OS Chip,trademark_of
1739,Amveco,short_name
1739,Amveco  Magnetics,also_known_as
1739,Amveco Magnetics,also_known_as
1740,Anadigics,short_name
1741,Anadigm,short_name
1742,ADI,acronym
1742,Analog Devices,also_known_as
1742,Hittite Microwave Products,acquired_by
1742,Precision Monolithics Inc,acquired_by
1743,AME,abbreviation
1743,AME Inc,formerly_known_as
1743,Analog Microelectronic,also_known_as
1745,Anaren,short_name
1745,Anaren Microwave,also_known_as
1745,RF Power Components,acquired_by
1745,Xinger,brand_of
